('Bryotropha_Plantariella', 'Kingdom', 'Animal')
('Bryotropha Plantariella', 'Domain', 'Animalia')
('Bryotropha Plantariella', 'Class', 'Insecta')
('Bryotropha Plantariella', 'Phylum', 'Arthropoda')
('Bryotropha Plantariella', 'Order', 'Lepidoptera')
('Bryotropha Plantariella', 'Family', 'Gelechiidae')
('Bryotropha Plantariella', 'Genus', 'Bryotropha')
('Bryotropha Plantariella', 'Species', 'Bryotropha Plantariella')
('Bryotropha Plantariella', 'Synonym', 'Gelechia Plantariella')
('Bryotropha Plantariella', 'Distribution', 'Europe')
('Bryotropha Plantariella', 'Location', 'Europe')
('Bryotropha Plantariella', 'Habitat', 'Sand Dunes')
('Bryotropha Plantariella', 'Conservationstatus', 'Not Evaluated')
('Bryotropha Plantariella', 'Pollinator', '?')
('Bryotropha Plantariella', 'Producer', '?')
('Bryotropha Plantariella', 'Haspart', 'Wings')
('Bryotropha Plantariella', 'Precededby', 'Bryotropha Terrella.')
('Bryotropha Plantariella', 'Followedby', 'Bryotropha Terrella')
('Bryotropha Plantariella', 'Subject', 'Category:Moths_Described_In_1848')
('Bryotropha Plantariella', 'Subject', 'Category:Moths_Described_In_1859')
